CATEGORYID,LARGEID,LARGENAME,MEDIUMID,MEDIUMNAME,SMALLID,SMALLNAME,PAGES
2C5190,2C,生産用機器,51,熱処理装置,90,専用補修部品,A
2C5191,2C,生産用機器,51,熱処理装置,91,移設・改造,A
2C5192,2C,生産用機器,51,熱処理装置,92,修理・オ－バ－ホ－ル,A
2C5193,2C,生産用機器,51,熱処理装置,93,二次側配線・配管,A
2C5199,2C,生産用機器,51,熱処理装置,99,その他,A
2C5221,2C,生産用機器,52,洗浄機,21,浸漬洗浄機,A
2C5222,2C,生産用機器,52,洗浄機,22,シャワー洗浄機,A
2C5223,2C,生産用機器,52,洗浄機,23,高圧洗浄機,A
2C5250,2C,生産用機器,52,洗浄機,50,ソフト（洗浄機用）,A
2C5290,2C,生産用機器,52,洗浄機,90,専用補修部品,A
2C5291,2C,生産用機器,52,洗浄機,91,移設・改造,A
2C5292,2C,生産用機器,52,洗浄機,92,修理・オ－バ－ホ－ル,A
2C5293,2C,生産用機器,52,洗浄機,93,二次側配線・配管,A
2C5299,2C,生産用機器,52,洗浄機,99,その他,A
2C5321,2C,生産用機器,53,塗装・表面処理装置,21,吹付塗装装置,A
2C5322,2C,生産用機器,53,塗装・表面処理装置,22,粉体塗装装置,A
2C5323,2C,生産用機器,53,塗装・表面処理装置,23,浸漬塗装装置,A
2C5324,2C,生産用機器,53,塗装・表面処理装置,24,ボンデ装置,A
2C5325,2C,生産用機器,53,塗装・表面処理装置,25,化成処理装置,A
2C5326,2C,生産用機器,53,塗装・表面処理装置,26,溶射装置,A
2C5350,2C,生産用機器,53,塗装・表面処理装置,50,ソフト（塗装・表面処理装置用）,A
2C5390,2C,生産用機器,53,塗装・表面処理装置,90,専用補修部品,A
2C5391,2C,生産用機器,53,塗装・表面処理装置,91,移設・改造,A
2C5392,2C,生産用機器,53,塗装・表面処理装置,92,修理・オ－バ－ホ－ル,A
2C5393,2C,生産用機器,53,塗装・表面処理装置,93,二次側配線・配管,A
2C5399,2C,生産用機器,53,塗装・表面処理装置,99,その他,A
2C5401,2C,生産用機器,54,搬送装置,01,本体,A
2C5408,2C,生産用機器,54,搬送装置,08,パーツフィーダー,A
2C5450,2C,生産用機器,54,搬送装置,50,ソフト(搬送装置用),A
2C5490,2C,生産用機器,54,搬送装置,90,専用補修部品,A
2C5491,2C,生産用機器,54,搬送装置,91,移設・改造,A
2C5492,2C,生産用機器,54,搬送装置,92,修理・オ－バ－ホ－ル,A
2C5493,2C,生産用機器,54,搬送装置,93,二次側配線・配管,A
2C5499,2C,生産用機器,54,搬送装置,99,その他,A
2C5501,2C,生産用機器,55,集塵・排気装置,01,本体（集塵機）,A
2C5502,2C,生産用機器,55,集塵・排気装置,02,局所排気装置,A
2C5503,2C,生産用機器,55,集塵・排気装置,03,クリ－ンベンチ,A
2C5504,2C,生産用機器,55,集塵・排気装置,04,ドラフトチャンバ－,A
2C5505,2C,生産用機器,55,集塵・排気装置,05,送・排風機,A
2C5550,2C,生産用機器,55,集塵・排気装置,50,ソフト（集塵・排気装置用）,A
2C5590,2C,生産用機器,55,集塵・排気装置,90,専用補修部品,A
2C5591,2C,生産用機器,55,集塵・排気装置,91,移設・改造,A
2C5592,2C,生産用機器,55,集塵・排気装置,92,修理・オ－バ－ホ－ル,A
2C5593,2C,生産用機器,55,集塵・排気装置,93,二次側配線・配管,A
2C5599,2C,生産用機器,55,集塵・排気装置,99,その他,A
2C5721,2C,生産用機器,57,注入機・塗布機,21,注入機・ディスペンサ,A
2C5722,2C,生産用機器,57,注入機・塗布機,22,塗布機,A
2C5750,2C,生産用機器,57,注入機・塗布機,50,ソフト（注入機・塗布機用）,A
2C5790,2C,生産用機器,57,注入機・塗布機,90,専用補修部品,A
2C5791,2C,生産用機器,57,注入機・塗布機,91,移設・改造,A
2C5792,2C,生産用機器,57,注入機・塗布機,92,修理・オ－バ－ホ－ル,A
2C5793,2C,生産用機器,57,注入機・塗布機,93,二次側配線・配管,A
2C5799,2C,生産用機器,57,注入機・塗布機,99,その他,A
2C5821,2C,生産用機器,58,除電除塵・着脱装置,21,除電除塵装置,A
2C5822,2C,生産用機器,58,除電除塵・着脱装置,22,着磁・脱磁・減磁装置,A
2C5850,2C,生産用機器,58,除電除塵・着脱装置,50,ソフト（除電除塵・着脱装置用）,A
